city,lat,lng,country,iso2,admin_name,capital,population,population_proper,district
Budapanagama,6.1728,80.2487,Sri Lanka,LK,Southern,,,,Galle
Budawatta,7.1756,80.4512,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Buddama,7.0434,81.4838,Sri Lanka,LK,Uva,,,,Moneragala
Buddankotte,7.2108,81.0074,Sri Lanka,LK,Uva,,,,Badulla
Buddiyagama,6.1661,80.753,Sri Lanka,LK,Southern,,,,Hambantota
Budugala,6.226,80.565,Sri Lanka,LK,Southern,,,,Matara
Budugehinna,7.86667,80.56667,Sri Lanka,LK,North Central,,,,Anuradhapura
Budugekanda,7.0748,81.0487,Sri Lanka,LK,Uva,,,,Badulla
Budulenagama,6.663,80.4975,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Budumutta Vihare Pingama,7.75,80.08333,Sri Lanka,LK,North Western,,,,Kurunegala
Budumuttawa,7.75,80.1,Sri Lanka,LK,North Western,,,,Kurunegala
Budunkumbura,7.5085,79.9353,Sri Lanka,LK,North Western,,,,Kurunegala
Budurapota,7.38333,81.35,Sri Lanka,LK,Uva,,,,
Budurawa,7.1824,81.022,Sri Lanka,LK,Uva,,,,Badulla
Buduruwakanda,8.0348,80.2721,Sri Lanka,LK,North Western,,,,Kurunegala
Buhari Nagar,8.4416,81.0469,Sri Lanka,LK,Eastern,,,,Trincomalee
Buhikanuwa,7.0101,80.4304,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Bujjampola,7.3299,79.9272,Sri Lanka,LK,North Western,,,,Puttalam
Bujjamuwa,7.55,80.05,Sri Lanka,LK,North Western,,,,Kurunegala
Bukinigaslande Kandiya,7.4725,81.2375,Sri Lanka,LK,Eastern,,,,Ampara
Bulagahapitiya,7.125,80.7788,Sri Lanka,LK,Central,,,,Nuwara Eliya
Bulagala,7.9,80.63333,Sri Lanka,LK,Southern,,,,
Bulana,7.71667,80.06667,Sri Lanka,LK,North Western,,,,Kurunegala
Bulana,7.6182,80.4707,Sri Lanka,LK,North Western,,,,Kurunegala
Bulanewa,7.9218,80.4325,Sri Lanka,LK,North Western,,,,Kurunegala
Bulanewewa,7.83333,80.56667,Sri Lanka,LK,Southern,,,,
